"Tijdstempel","Have you participated in this survey before?","Do you use the UberEats food delivery application on your phone?","What is your age?","What is your gender?","Where do you currently live?","What is your highest education level?","What is your occupation?","What is your income level?","Does the UberEats application send you push notifications about ordering food?","The push notifications by UberEats have an influence on me. ","The push notifications by UberEats are convincing.","The push notifications by UberEats are personally relevant for me.","Do not choose the option yes. This is to make sure you are paying attention.","The push notifications by UberEats make me order food on UberEats more often.","I am able to consume fruits and vegetables in most of my meals.","I am able to eat a variety of healthy foods to keep my diet balanced.","Based on my knowledge of nutrition, I am able to choose healthy foods at restaurants and from stores.","I am able to modify recipes to make them healthier.","If you are paying attention, choose number 4","I am able to choose recipes based on nutritional value.","If I choose to indulge in unhealthy food, I am able to appropriately compensate later.","When I feel hungry, I am able to easily choose healthy food over less healthy options."
"2023/05/04 11:49:30 a.m. EEST","No","No","25-34","Female","France","Master degree","Student","Less than €20,000","Yes","2","3","2","No","2","4","4","2","4","4","3","4","3"
"2023/05/04 2:19:26 p.m. EEST","No","Yes","18-24","Female","United Kingdom","Bachelor degree","Student","Less than €20,000","Yes","4","4","5","No","5","4","4","3","4","4","5","5","1"
"2023/05/04 8:05:03 p.m. EEST","No","Yes","18-24","Male","Spain","Bachelor degree","Student","Less than €20,000","Yes","2","2","2","No","2","4","4","5","5","4","4","4","4"
"2023/05/05 5:05:36 a.m. EEST","No","Yes","35-44","Male","Canada","Bachelor degree","Full-time employed","Between €20,000-€50,000","Yes","4","3","4","No","4","5","5","4","4","4","4","4","3"
"2023/05/07 1:35:33 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","1","1","1","No","1","4","4","4","4","4","4","4","3"
"2023/05/07 2:09:31 p.m. EEST","No","No","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","2","2","3","No","2","5","5","4","4","4","3","4","4"
"2023/05/07 2:12:43 p.m. EEST","No","No","35-44","Female","India","Master degree","Full-time employed","Between €20,000-€50,000","Yes","3","3","4","No","4","4","4","2","4","4","4","5","5"
"2023/05/07 4:11:12 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Prefer not to say","No","1","1","3","No","1","4","4","4","5","4","2","4","1"
"2023/05/07 4:37:12 p.m. EEST","Yes","Yes","18-24","Female","Latvia","Bachelor degree","Student","Between €20,000-€50,000","Yes","4","4","4","No","3","3","3","3","3","4","3","3","3"
"2023/05/07 6:04:51 p.m. EEST","No","Yes","18-24","Male","United Kingdom","Less then high school","Student","Less than €20,000","Yes","1","1","1","No","1","5","5","5","5","4","5","5","5"
"2023/05/07 7:08:29 p.m. EEST","No","Yes","25-34","Female","Netherlands","Master degree","Student","Less than €20,000","No","4","5","4","No","4","4","5","4","4","4","4","2","4"
"2023/05/07 7:18:48 p.m. EEST","No","Yes","18-24","Male","Belgium","Bachelor degree","Student","Less than €20,000","Yes","3","4","4","No","4","2","3","4","4","4","4","3","2"
"2023/05/07 9:02:59 p.m. EEST","No","Yes","25-34","Female","South Africa","Bachelor degree","Full-time employed","Less than €20,000","Yes","4","3","4","No","3","2","2","2","2","4","2","4","2"
"2023/05/07 9:24:53 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","2","4","No","2","4","4","4","4","4","3","2","2"
"2023/05/07 9:30:42 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","1","1","1","No","1","1","1","1","1","4","2","2","1"
"2023/05/07 10:17:21 p.m. EEST","No","Yes","18-24","Male","Netherlands","Master degree","Student","Less than €20,000","Yes","1","2","2","No","1","4","4","5","5","4","5","4","4"
"2023/05/07 10:33:11 p.m. EEST","No","Yes","18-24","Male","Netherlands","Master degree","Student","Less than €20,000","Yes","4","4","4","No","3","5","5","5","5","4","1","5","5"
"2023/05/07 10:33:58 p.m. EEST","Yes","No","18-24","Male","Bahamas","Master degree","Student","Less than €20,000","Yes","1","1","1","No","2","4","4","4","4","4","4","3","3"
"2023/05/07 11:03:00 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","No","1","4","2","No","1","4","3","4","2","4","2","4","3"
"2023/05/07 11:05:49 p.m. EEST","No","Yes","18-24","Female","Belgium","Master degree","Student","Less than €20,000","No","1","2","2","No","1","4","5","5","4","4","5","3","2"
"2023/05/07 11:17:17 p.m. EEST","No","Yes","18-24","Other","United Kingdom","Bachelor degree","Student","Prefer not to say","Yes","4","4","3","No","4","5","5","5","5","4","5","1","3"
"2023/05/08 12:26:31 p.m. EEST","No","Yes","25-34","Male","Netherlands","Some college, no degree","Full-time employed","Between €20,000-€50,000","Yes","3","4","2","No","3","1","2","3","4","4","3","1","2"
"2023/05/08 12:27:10 p.m. EEST","No","Yes","18-24","Female","Netherlands","High school degree","Student","Less than €20,000","Yes","3","1","1","No","2","2","2","1","1","4","1","1","1"
"2023/05/08 12:46:02 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Between €20,000-€50,000","Yes","2","2","4","No","2","4","5","5","4","4","4","4","4"
"2023/05/08 12:51:38 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","2","2","No","2","4","4","4","4","4","3","5","2"
"2023/05/08 12:55:35 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Between €20,000-€50,000","Yes","1","2","3","No","1","5","5","4","4","4","4","4","4"
"2023/05/08 3:06:01 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","3","4","4","No","3","4","4","4","4","4","4","4","4"
"2023/05/08 3:21:08 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","4","4","No","4","4","3","4","4","4","4","5","2"
"2023/05/08 4:02:24 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Part-time employed","Less than €20,000","Yes","3","2","4","No","2","4","4","4","4","4","4","4","4"
"2023/05/08 4:23:46 p.m. EEST","No","No","18-24","Female","Netherlands","High school degree","Student","Less than €20,000","No","2","4","2","No","3","5","5","4","4","4","4","5","4"
"2023/05/08 4:33:56 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","2","4","4","No","2","4","4","4","3","4","2","4","2"
"2023/05/08 4:34:57 p.m. EEST","No","No","18-24","Female","Belgium","High school degree","Student","Less than €20,000","No","2","4","3","No","3","4","4","3","2","4","4","4","5"
"2023/05/08 4:49:51 p.m. EEST","No","Yes","18-24","Male","Switzerland","High school degree","Student","Less than €20,000","Yes","2","4","4","No","4","5","5","5","5","4","5","5","5"
"2023/05/08 4:57:21 p.m. EEST","No","No","35-44","Female","India","Master degree","Student","Less than €20,000","No","3","3","3","No","3","3","4","4","4","4","4","5","1"
"2023/05/08 5:31:37 p.m. EEST","No","Yes","25-34","Female","Portugal","Bachelor degree","Student","Prefer not to say","Yes","4","4","4","No","2","3","3","4","4","4","4","4","4"
"2023/05/08 6:32:15 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","1","1","4","No","1","5","5","5","5","4","5","5","1"
"2023/05/08 9:02:17 p.m. EEST","No","Yes","18-24","Female","Spain","Bachelor degree","Part-time employed","Less than €20,000","Yes","3","4","2","No","2","4","4","4","3","4","4","3","3"
